Trf	-9.07111339442766	3.94586820108643e-66
Itih2	-7.89417432773277	4.30430187539862e-41
Myh7	-7.84990072839832	7.79938515952781e-45
Myh6	-7.16595675529529	5.93189016450219e-25
Gkn3	-6.95270754523919	5.37808303579625e-33
Cxcl15	-5.88299014638758	4.87145397628714e-33
Serpind1	-5.53587762824317	1.80041413436677e-16
Muc5b	-5.52587996373791	1.83289902781556e-30
Acmsd	-5.42989240979015	1.06765806346261e-16
Hc	-5.12051661861926	1.20831480773412e-23
R3hdml	-5.05986662226956	4.4968942677947e-14
Gm43085	-4.85155033447977	8.62168233365086e-17
C2cd4b	-4.75824820276061	1.85888265604286e-12
Vipr2	-4.7429618246728	2.73743265745637e-20
Sftpa1	-4.67242706192699	2.23588941684654e-14
Lrg1	-4.53566023283576	3.1620663960848e-12
Slco4c1	-4.46545056095755	6.88993700884991e-20
Creb3l1	-4.45171887657417	4.47707714335689e-16
0710001A04Rik	-4.42949683649306	2.94637267593134e-16
Rbp4	-4.41697252279986	3.19041552288663e-16
Onecut3	-4.36872880738845	1.03764784944213e-14
Pla2g1b	-4.31984250994115	6.06288735062104e-29
Foxa2	-4.17910085234792	7.76583775583403e-36
Foxp2	-4.05688682328143	2.34852125464867e-11
Ttr	-3.8885186322479	1.78631208207761e-09
Igdcc4	-3.88605669213813	7.98656811376777e-09
Gad1os	-3.86021084858884	3.13961977779266e-11
Galntl6	-3.85645736626345	1.18329996822638e-13
Tff1	-3.83779490668312	2.97795018327389e-15
Scgb3a1	-3.82423140964334	6.67453416363364e-09
Car8	-3.79393856773078	2.22736063629114e-14
Sp5	-3.77299821137902	1.02002789174059e-10
Atoh8	-3.7656788478199	6.20800997112024e-10
Syt7	-3.74991916262671	9.50447537815382e-23
Erich2	-3.73680953136933	2.75851938829169e-12
Enpep	-3.73226186454874	9.11462553352894e-11
Gkn2	-3.72698303613199	4.73093660029455e-15
Erich2os	-3.68464946591813	2.88185053259837e-09
Tmem213	-3.65159048294689	7.93330835550331e-12
Atp8a2	-3.60785859956664	2.99423380343848e-10
Galnt5	-3.5940691232112	8.75760341404127e-08
Kif5c	-3.59214423329989	1.69310375396183e-12
C1qtnf6	-3.54177873214944	4.7895971660355e-36
Hecw1	-3.53976208614323	1.00679175544037e-07
Muc5ac	-3.51277112851744	2.84772113680514e-11
D630003M21Rik	-3.50479286942454	2.26291527253675e-16
Upk3a	-3.49290250579182	3.76113555889575e-07
Cracr2a	-3.48244076521957	1.36331102355273e-13
Gm2245	-3.48144456385275	6.12503542549321e-08
Olfml2b	-3.4703084512362	8.98660698446254e-23
Lrrk2	-3.46871355191259	1.06878209453961e-10
Alb	-3.46251113174881	5.50718947183949e-08
Acsm1	-3.44093478399582	3.87205460256433e-07
Adamts9	-3.4341279435834	4.2337423465495e-11
Cfi	-3.43235677297881	2.5401776551015e-16
Bcas1	-3.39422943628484	1.06567193037809e-11
Ism1	-3.38855873849903	1.74285129668231e-10
Prox1	-3.37830217949473	7.01308606978469e-07
Fam174b	-3.37157460055575	5.67603878765164e-11
Lifr	-3.35829233343286	6.7125293615868e-09
Kcne2	-3.33635172804897	1.23189848688965e-07
Sidt1	-3.32250501609173	6.11944726304265e-10
Matn3	-3.26413043363363	1.77140753674604e-07
Nrk	-3.2323783255884	4.32636869240732e-08
Cd38	-3.17668673982386	1.67883950372521e-13
Gm4544	-3.15362737708432	3.4456802691563e-13
Gcnt4	-3.1277112912891	3.42677843682098e-16
Bmx	-3.11927589410399	2.58245054867112e-07
Kcne3	-3.08718041341566	1.06450240176458e-25
Egflam	-3.08534031012603	6.08869816180849e-07
Ggt5	-3.07373200296025	2.27737332674256e-06
Gm44985	-3.04422047810553	6.41269660949655e-06
