barcodes,CD10,CD11b,CD11c,CD123,CD127,CD14,CD141,CD16,CD172a,CD185,CD19,CD192,CD197,CD21,CD24,CD25,CD269,CD27,CD278,CD279,CD3,CD304,CD319,CD38,CD39,CD4,CD40,CD45RA,CD45RO,CD56,CD66b,CD71,CD80,CD86,CD8a,CD95,FceRI,HLA-DR,IgD,IgG1-K-Isotype-Control,IgM,KLRG1,TCR-Va24-Ja18,TCR-Va7.2,TCR-a/b,TCR-g/d
19684e764f8711eb841542010a19c80f,0,0,0,0,3,1,2,4,4,2,3,5,4,1,4,4,2,9,2,2,19,1,1,9,0,127,3,23,13,7,1,2,6,1,7,6,3,5,0,1,3,14,2,0,16,27
19684f164f8711eb841542010a19c80f,2,1,823,21,0,11,66,358,591,1,4,4,6,0,9,1,0,4,1,3,8,0,3,15,0,21,2,45,31,5,0,33,4,71,5,24,1,88,0,3,3,12,2,0,8,43
19684fa24f8711eb841542010a19c80f,0,0,7,1,2,5,1,4,3,2,4,2,7,2,14,1,4,24,27,49,147,1,6,77,1,5,2,16,281,4,0,13,0,2,547,89,1,46,0,2,3,256,2,0,84,28
196850244f8711eb841542010a19c80f,3,0,2,0,9,5,4,1,9,0,4,6,9,0,9,1,1,52,5,6,178,0,4,67,0,139,3,56,18,5,0,3,3,2,6,26,0,6,0,0,1,8,8,0,83,34
196850744f8711eb841542010a19c80f,4,0,1,3,19,5,3,2,4,0,3,2,9,1,7,1,0,63,8,1,464,0,1,77,0,309,2,89,6,2,1,7,4,2,27,8,2,9,0,3,2,10,2,1,148,23
196851004f8711eb841542010a19c80f,32,3,236,5,0,177,50,1,107,1,9,78,15,0,9,4,3,3,0,4,14,0,3,110,1,46,4,9,67,4,0,10,8,27,12,92,8,24,0,0,2,22,8,1,17,51
196851824f8711eb841542010a19c80f,1,0,6,63,1,14,5,8,2,12,377,4,7,61,23,1,1,5,0,4,8,0,0,64,16,2,17,100,8,4,2,16,5,2,17,3,1,142,42,3,13,16,4,0,13,112
196851dc4f8711eb841542010a19c80f,4,2,179,0,13,4,0,857,41,0,5,2,8,0,7,2,1,48,7,1,210,4,13,254,1,193,4,680,6,94,1,3,7,0,15,27,1,11,1,0,3,232,4,0,46,29
196852544f8711eb841542010a19c80f,1,1,3,1,6,5,1,3,5,1,9,4,12,2,16,0,1,92,7,3,326,1,1,57,0,163,4,316,4,5,5,5,5,2,11,7,2,4,0,3,1,16,2,0,84,28
196852d64f8711eb841542010a19c80f,2,0,8,2,5,1,1,3,10,0,3,7,8,1,7,1,2,33,3,4,270,1,2,59,0,140,2,240,7,6,1,3,4,0,5,11,2,8,0,3,3,14,5,0,51,29
