,Unnamed: 0
1098,LAP3
1099,AC006160.1
1100,FAM184B
1101,LCORL
1102,AC024230.1
1103,PI4K2B
1104,ZCCHC4
1105,SEL1L3
1106,RBPJ
1107,TBC1D19
1108,DTHD1
1109,PGM2
1110,TBC1D1
1111,KLF3-AS1
1112,TLR1
1113,TLR6
1114,TMEM156
1115,KLHL5
1116,AC079921.1
1117,WDR19
1118,UGDH
1119,SMIM14
1120,AC108471.2
1121,N4BP2
1122,LINC02265
1123,RBM47
1124,NSUN7
1125,BEND4
1126,ATP8A1
1127,ATP10D
1128,TXK
1129,TEC
1130,DCUN1D4
1131,SCFD2
1132,CLOCK
1133,EXOC1
1134,CEP135
1135,HOPX
1136,IGFBP7
1137,ADGRL3-AS1
1138,STAP1
1139,UBA6-AS1
1140,JCHAIN
1141,AC009570.1
1142,RUFY3
1143,GRSF1
1144,MOB1B
1145,AC053527.2
1146,CXCL8
1147,MTHFD2L
1148,EREG
1149,AREG
1150,PARM1
1151,RCHY1
1152,THAP6
1153,CDKL2
1154,USO1
1155,NAAA
1156,CXCL10
1157,SCARB2
1158,CCNG2
1159,MRPL1
1160,BMP2K
1161,LINC01088
1162,CFAP299
1163,PRKG2
1164,SCD5
1165,THAP9-AS1
1166,LIN54
1167,COQ2
1168,HPSE
1169,MRPS18C
1170,ABRAXAS1
1171,GPAT3
1172,ARHGAP24
1173,MAPK10
1174,PTPN13
1175,NUDT9
1176,PKD2
1177,HERC3
1178,FAM13A
1179,GPRIN3
1180,SNCA
1181,CCSER1
1182,GRID2
1183,SMARCAD1
1184,PDLIM5
1185,STPG2
1186,RAP1GDS1
1187,TSPAN5
1188,METAP1
1189,AP002026.1
1190,DAPP1
1191,PPP3CA
1192,BANK1
1193,AP002075.1
1194,SLC39A8
1195,NFKB1
1196,AC018797.3
1197,SLC9B1
1198,SLC9B2
1199,CENPE
1200,TET2
1201,ARHGEF38
1202,INTS12
1203,GSTCD
1204,AC096564.1
1205,HADH
1206,LEF1
1207,RPL34-AS1
1208,SEC24B-AS1
1209,TIFA
1210,ALPK1
1211,CAMK2D
1212,UGT8
1213,SEC24D
1214,PDE5A
1215,MAD2L1
1216,TNIP3
1217,ANXA5
1218,CCNA2
1219,BBS7
1220,SPATA5
1221,ANKRD50
1222,MFSD8
1223,LINC02615
1224,JADE1
1225,SCLT1
1226,SLC7A11
1227,NOCT
1228,AC097376.3
1229,MGST2
1230,MAML3
1231,ELMOD2
1232,TBC1D9
1233,LINC02432
1234,IL15
1235,INPP4B
1236,AC139720.1
1237,AC104596.1
1238,GAB1
1239,AC107223.1
1240,ANAPC10
1241,ABCE1
1242,TMEM184C
1243,ARHGAP10
1244,NR3C2
1245,AC002460.2
1246,DCLK2
1247,SH3D19
1248,AC095055.1
1249,FAM160A1
1250,FBXW7
1251,AC023424.3
1252,TMEM131L
1253,AC106865.2
1254,TLR2
1255,RNF175
1256,GUCY1A1
1257,GASK1B
1258,PPID
1259,FNIP2
1260,RAPGEF2
1261,MARCH1
1262,TMEM192
1263,KLHL2
1264,MSMO1
1265,DDX60
1266,DDX60L
1267,CBR4
1268,HPF1
1269,GALNTL6
1270,GALNT7
1271,HPGD
1272,GPM6A
1273,SPCS3
1274,DCTD
1275,ACSL1
1276,MIR3945HG
1277,SLC25A4
1278,C4orf47
1279,SORBS2
1280,CYP4V2
1281,FRG1
1282,LPCAT1
1283,MRPL36
1284,NSUN2
1285,SRD5A1
1286,TENT4A
1287,MTRR
1288,MIR4458HG
1289,CCT5
1290,ANKRD33B
1291,TRIO
1292,BASP1
1293,LINC02100
1294,LINC02241
1295,C5orf17
1296,AC008825.1
1297,LINC02109
1298,DROSHA
1299,C5orf22
1300,PDZD2
1301,MTMR12
1302,TARS
1303,C1QTNF3
1304,LMBRD2
1305,CPLANE1
1306,NUP155
1307,WDR70
1308,DAB2
1309,TTC33
1310,PTGER4
1311,C5orf51
1312,CCDC152
1313,AC025171.2
1314,TMEM267
1315,PARP8
1316,ARL15
1317,LINC01033
1318,SNX18
1319,GZMK
1320,GZMA
1321,SLC38A9
1322,MAP3K1
1323,AC008937.2
1324,GAPT
1325,PDE4D
1326,AC092343.1
1327,NDUFAF2
1328,SMIM15-AS1
1329,ZSWIM6
1330,CENPK
1331,AC112206.2
1332,AC106798.1
1333,AC146944.4
1334,SMN1
1335,NAIP
1336,GTF2H2
1337,MRPS27
1338,FCHO2
1339,HEXB
1340,GFM2
1341,FAM169A
1342,AC116337.3
1343,GCNT4
1344,HMGCR
1345,POC5
1346,IQGAP2
1347,F2R
1348,SCAMP1
1349,ARSB
1350,HOMER1
1351,SERINC5
1352,ZFYVE16
1353,AC008771.1
1354,RASGRF2
1355,ZCCHC9
1356,SSBP2
1357,ATG10
1358,XRCC4
1359,VCAN
1360,CCNH
1361,AC018754.1
1362,TMEM161B
1363,TMEM161B-AS1
1364,MEF2C
1365,MEF2C-AS1
1366,LUCAT1
1367,KIAA0825
1368,MCTP1
1369,TTC37
1370,GLRX
1371,ELL2
1372,AC104123.1
1373,LIX1-AS1
1374,LIX1
1375,LINC01340
1376,LINC02234
1377,LINC02062
1378,SLCO4C1
1379,PAM
1380,EFNA5
1381,FBXL17
1382,AC008462.1
1383,FER
1384,AC008467.1
1385,CAMK4
1386,AC010275.1
1387,STARD4-AS1
1388,EPB41L4A
1389,APC
1390,MCC
1391,AC010226.1
1392,AP3S1
1393,COMMD10
1394,DMXL1
1395,ZNF608
1396,LINC02240
1397,AC093535.1
1398,LMNB1-DT
1399,LMNB1
1400,MARCH3
1401,PRRC1
1402,LINC01184
1403,ISOC1
1404,CDC42SE2
1405,RAPGEF6
1406,FNIP1
1407,MEIKIN
1408,SLC22A4
1409,C5orf15
1410,CDKL3
1411,CDKN2AIPNL
1412,AC005355.1
1413,SEC24A
1414,C5orf24
1415,TGFBI
1416,KLHL3
1417,AC106791.1
1418,FAM13B
1419,BRD8
1420,CDC23
1421,EGR1
1422,CTNNA1
1423,AC011405.1
1424,AC135457.1
1425,DNAJC18
1426,NRG2
1427,PFDN1
1428,HBEGF
1429,AC008438.1
1430,APBB3
1431,CD14
1432,WDR55
1433,ZMAT2
1434,AC008781.2
1435,HDAC3
1436,RELL2
1437,FCHSD1
1438,DELE1
1439,ARHGAP26
1440,KCTD16
1441,PRELID2
1442,LARS
1443,PPP2R2B
1444,JAKMIP2
1445,FBXO38
1446,ADRB2
1447,ARHGEF37
1448,SLC26A2
1449,CSF1R
1450,TCOF1
1451,CD74
1452,IRGM
1453,GM2A
1454,ATOX1
1455,GALNT10
1456,SAP30L-AS1
1457,FAXDC2
1458,SGCD
1459,HAVCR1
1460,HAVCR2
1461,AC010609.1
1462,ADAM19
1463,EBF1
1464,PTTG1
1465,AC113414.1
1466,PANK3
1467,INSYN2B
1468,LCP2
1469,STK10
1470,UBTD2
1471,AC022217.2
1472,RPL26L1
1473,BNIP1
1474,CPEB4
1475,SFXN1
1476,HRH2
1477,FAM153B
1478,SIMC1
1479,KIAA1191
1480,RAB24
1481,PRELID1
1482,PRR7
1483,DOK3
1484,B4GALT7
1485,AC139795.2
1486,FAM153A
1487,FAM153CP
1488,AC136604.2
1489,MRNIP
1490,RNF130
1491,MAPK9
1492,MGAT1
1493,LINC00847
1494,TRIM41
1495,AL365272.1
1496,AL357054.4
1497,GMDS
1498,GMDS-DT
1499,SERPINB1
1500,BPHL
1501,TUBB2A
1502,PSMG4
1503,SLC22A23
1504,AL033523.1
1505,LY86
1506,RIOK1
1507,BLOC1S5
1508,SLC35B3
1509,HULC
1510,GCNT2
1511,TMEM14C
1512,AL139807.1
1513,NEDD9
1514,TMEM170B
1515,PHACTR1
1516,TBC1D7
1517,GFOD1
1518,SIRT5
1519,CD83
1520,AL133259.1
1521,JARID2
1522,ATXN1
1523,KIF13A
1524,KDM1B
1525,RNF144B
1526,MBOAT1
1527,E2F3
1528,CDKAL1
1529,AL513188.1
1530,SOX4
1531,ACOT13
1532,LINC02828
1533,CARMIL1
1534,HIST1H3A
1535,HIST1H2BB
1536,HFE
1537,HIST1H2AC
1538,HIST1H2BD
1539,AL353759.1
1540,HIST1H2BE
1541,HIST1H2BF
1542,HIST1H4E
1543,HIST1H2AE
1544,BTN2A1
1545,HIST1H2BJ
1546,HIST1H4I
1547,HIST1H2BK
1548,ZNF391
1549,AL021918.5
1550,HIST1H2BN
1551,HIST1H2AL
1552,HIST1H1B
1553,HIST1H3I
1554,ZSCAN16-AS1
1555,AL121944.1
1556,ZNF165
1557,TRIM27
1558,GABBR1
1559,HCG17
1560,HCG18
1561,RPP21
1562,PRR3
1563,DHX16
1564,PPP1R18
1565,MDC1
1566,IER3
1567,GTF2H4
1568,VARS2
1569,LTA
1570,TNF
1571,LST1
1572,NCR3
1573,AIF1
1574,APOM
1575,LY6G5B
1576,ABHD16A
1577,DDAH2
1578,CLIC1
1579,MSH5
1580,VARS
1581,HSPA1A
1582,HSPA1B
1583,NEU1
1584,STK19
1585,AGPAT1
1586,AGER
1587,TSBP1-AS1
1588,HLA-DRA
1589,HLA-DRB5
1590,HLA-DRB1
1591,HLA-DQA1
1592,HLA-DQB1
1593,HLA-DQA2
1594,TAP2
1595,HLA-DMB
1596,HLA-DMA
1597,HLA-DPA1
1598,HLA-DPB1
1599,RXRB
1600,SLC39A7
1601,VPS52
1602,B3GALT4
1603,SYNGAP1
1604,LEMD2
1605,AL354740.1
1606,RPS10-NUDT3
1607,AL451165.2
1608,ANKS1A
1609,FANCE
1610,FKBP5
1611,SRPK1
1612,MAPK13
1613,Z84485.1
1614,BRPF3
1615,CDKN1A
1616,PPIL1
1617,FGD2
1618,TBC1D22B
1619,RNF8
1620,AL121574.1
1621,ZFAND3
1622,BTBD9
1623,OARD1
